File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::SimpleTableModel(QObject* parent),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::SimpleTableModel(int rows, int cols, QObject* parent)",2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::SimpleTableModel(const SimpleTableModel& other),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::SimpleTableModel(SimpleTableModel&& other),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::operator =(const SimpleTableModel& other),19,18,16,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::operator =(SimpleTableModel&& other),19,18,15,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::rowCount(const QModelIndex& parent) const,9,9,5,3,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::columnCount(const QModelIndex& parent) const,9,9,5,3,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::data(const QModelIndex& index, int role) const",27,23,10,7,2,0,2,8,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::setData( const QModelIndex& index, const QVariant& value, int role )",27,24,13,7,2,0,1,9,
